cds	logFC	adj.P.Val	Up_Regulation	TAIR_ID	evalue	salltitles
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.036508120858005	S_cType	AT4G09020	0	| Symbols: ATISA3, ISA3 | isoamylase 3 | chr4:5784099-5788839 FORWARD LENGTH=764
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	6.52666353773788	0.0295070573699576	Both	AT2G37740	3.55e-15	| Symbols: ATZFP10, ZFP10 | zinc-finger protein 10 | chr2:15827706-15828620 REVERSE LENGTH=304
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	3.00211931601526	0.0320073541120024	S_cType	AT3G62760	2.61e-55	| Symbols: ATGSTF13 | Glutathione S-transferase family protein | chr3:23217425-23218246 REVERSE LENGTH=219
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	4.65791217203711	0.0445437674420119	S_cType	AT5G18590	3.39e-124	| Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr5:6178516-6182186 REVERSE LENGTH=708
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	4.65791217203711	0.0445437674420119	S_cType	AT5G18590	3.7e-42	| Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr5:6178516-6182186 REVERSE LENGTH=708
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12309_c1_g10_i2:388-867(+)	3.54734755472537	0.0429330760780471	Both	AT3G07510	7.42e-52	| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G01580.1); Has 133 Blast hits to 133 proteins in 14 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 0; Plants - 129; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:2393895-2394464 REVERSE LENGTH=189
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12375_c1_g1_i1:459-3251(-)	3.08273854529737	0.0145600391526392	S_cType	AT3G22400	0	| Symbols: LOX5 | PLAT/LH2 domain-containing lipoxygenase family protein | chr3:7927011-7931167 FORWARD LENGTH=886
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR125370_c0_g1_i1:465-1295(-)	3.78050346516755	0.00390028291007364	Both	AT5G03170	4.2e-41	| Symbols: FLA11, ATFLA11 | FASCICLIN-like arabinogalactan-protein 11 | chr5:752898-753638 REVERSE LENGTH=246
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR126243_c0_g1_i1:2-310(+)	3.48891259844653	0.0386791174345901	S_cType	AT3G14067	6.35e-37	| Symbols:  | Subtilase family protein | chr3:4658421-4660754 REVERSE LENGTH=777
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR132530_c0_g1_i1:210-1289(-)	3.76141770920463	0.0283948948801413	Both	AT4G13660	1.37e-141	| Symbols: ATPRR2, PRR2 | pinoresinol reductase 2 | chr4:7946283-7948252 FORWARD LENGTH=317
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR133872_c0_g1_i1:593-916(+)	2.60628700910797	0.0365929719717549	S_cType	AT1G28110	2.33e-40	| Symbols: SCPL45 | serine carboxypeptidase-like 45 | chr1:9804153-9806832 REVERSE LENGTH=461
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR136793_c0_g1_i1:2-964(+)	3.75697178881375	0.023345920329059	Both	AT1G17620	1.97e-23	| Symbols:  | Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | chr1:6062313-6063107 FORWARD LENGTH=264
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR137062_c1_g1_i1:124-1611(+)	2.11413623375049	0.00289425386641714	S_cType	AT3G52500	4.62e-88	| Symbols:  | Eukaryotic aspartyl protease family protein | chr3:19465644-19467053 REVERSE LENGTH=469
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141854_c1_g1_i1:2-364(+)	2.16535007298707	0.0247960406677787	S_cType	AT5G43830	6.55e-61	| Symbols:  | Aluminium induced protein with YGL and LRDR motifs | chr5:17622593-17624239 REVERSE LENGTH=251
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141978_c0_g1_i1:481-1182(-)	3.9931256147024	0.0203489883506164	Both	AT1G44760	4.2e-44	| Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr1:16896894-16898427 REVERSE LENGTH=213
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR144910_c0_g1_i1:220-1251(-)	3.84311417784428	0.00753728716134099	S_cType	AT5G08640	3.12e-127	| Symbols: FLS, ATFLS1, FLS1 | flavonol synthase 1 | chr5:2804009-2805175 FORWARD LENGTH=336
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145625_c0_g1_i1:882-1598(-)	3.81399936637091	0.0385227491007058	S_cType	AT5G53970	2.67e-67	| Symbols:  | Tyrosine transaminase family protein | chr5:21910676-21912594 FORWARD LENGTH=414
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145625_c0_g1_i1:260-835(-)	2.43151720286382	0.0385227491007058	S_cType	AT5G53970	2.36e-67	| Symbols:  | Tyrosine transaminase family protein | chr5:21910676-21912594 FORWARD LENGTH=414
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148505_c0_g1_i1:224-2116(-)	2.47833239380655	0.00792926292569155	S_cType	AT1G70370	0	| Symbols: PG2 | polygalacturonase 2 | chr1:26513003-26514998 REVERSE LENGTH=626
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148950_c0_g1_i1:963-2156(-)	3.23872196030614	0.0483490892321734	S_cType	AT5G65380	6.26e-148	| Symbols:  | MATE efflux family protein | chr5:26123241-26126352 REVERSE LENGTH=486
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR149017_c0_g2_i4:3-332(-)	5.31072825651517	0.040777304632774	S_cType	AT1G65730	2.62e-14	| Symbols: YSL7 | YELLOW STRIPE like 7 | chr1:24442639-24446122 FORWARD LENGTH=688
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR151105_c1_g1_i1:84-956(-)	3.26274581639545	0.00289425386641714	S_cType	AT4G37800	5.54e-139	| Symbols: XTH7 | xyloglucan endotransglucosylase/hydrolase 7 | chr4:17775703-17777372 REVERSE LENGTH=293
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR152832_c0_g1_i1:577-1665(-)	2.40058822291542	0.0091069398738393	S_cType	AT5G15720	1.52e-83	| Symbols: GLIP7 | GDSL-motif lipase 7 | chr5:5124684-5126155 REVERSE LENGTH=364
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR153483_c0_g3_i2:3-1085(+)	3.6139777178034	0.0158684150042228	S_cType	AT3G50170	7.38e-44	| Symbols:  | Plant protein of unknown function (DUF247) | chr3:18601857-18603738 REVERSE LENGTH=541
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR155120_c0_g1_i4:1-1068(-)	5.63396342288985	0.0489198168136123	S_cType	AT5G15780	5.39e-23	| Symbols:  | Pollen Ole e 1 allergen and extensin family protein | chr5:5144898-5146297 REVERSE LENGTH=401
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR155961_c0_g1_i1:3-479(-)	2.81535504930471	0.00582998511796388	S_cType	AT4G28100	6.05e-68	| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: anchored to plasma membrane, anchored to membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G18050.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr4:13965300-13966697 REVERSE LENGTH=304
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156725_c0_g1_i1:479-1438(+)	2.64344521941603	0.0122719591402621	S_cType	AT3G19430	3.69e-108	| Symbols:  | late embryogenesis abundant protein-related / LEA protein-related | chr3:6736382-6738330 REVERSE LENGTH=559
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156731_c0_g1_i1:313-759(-)	6.1193200589225	0.0298368166746432	S_cType	AT2G45660	1.29e-34	| Symbols: AGL20, SOC1, ATSOC1 | AGAMOUS-like 20 | chr2:18807799-18810193 REVERSE LENGTH=214
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156768_c1_g1_i2:256-1839(+)	2.87488017694576	0.00605411909838169	S_cType	AT5G13700	1.36e-158	| Symbols: ATPAO1, APAO, PAO1 | polyamine oxidase 1 | chr5:4420222-4422974 REVERSE LENGTH=472
